zeta1 vtest p=8: computed = 3.14112645857002670269, error=0.00046619501976641331, time=0.00031336499887402169, n=2048
zeta1 vtest p=8: computed = 3.14135953627386310671, error=0.00023311731593000928, time=0.00104816900056903251, n=4096
zeta1 vtest p=8: computed = 3.14147608998000027469, error=0.00011656360979284131, time=0.00193695699999807402, n=8192
zeta1 vtest p=8: computed = 3.14153437054690254371, error=0.00005828304289057229, time=0.00334445900080027059, n=16384
zeta1 vtest p=8: computed = 3.14156351175885140137, error=0.00002914183094171463, time=0.00415454500034684315, n=32768
zeta1 vtest p=8: computed = 3.14157808259694215636, error=0.00001457099285095964, time=0.00845109199872240424, n=65536
zeta1 vtest p=8: computed = 3.14158536807402466451, error=0.00000728551576845149, time=0.01498181200076942332, n=131072
zeta1 vtest p=8: computed = 3.14158901082707009422, error=0.00000364276272302178, time=0.03255181100030313246, n=262144
zeta1 vtest p=8: computed = 3.14159083220724433261, error=0.00000182138254878339, time=0.06437474099948303774, n=524288
zeta1 vtest p=8: computed = 3.14159174289823139858, error=0.00000091069156171741, time=0.11915634099932503887, n=1048576
zeta1 vtest p=8: computed = 3.14159219824394897458, error=0.00000045534584414142, time=0.28574915599892847240, n=2097152
zeta1 vtest p=8: computed = 3.14159242591687171142, error=0.00000022767292140458, time=0.49150348699913593009, n=4194304
zeta1 vtest p=8: computed = 3.14159253975335062137, error=0.00000011383644249463, time=1.07794835299864644185, n=8388608
zeta1 vtest p=8: computed = 3.14159259667158252682, error=0.00000005691821058917, time=2.22216298300190828741, n=16777216
