zeta2 vtest nthreads=2: computed=2.73861278752583059415, error=0.40297986606396252185, time=0.00005168799907551147,  n=2
zeta2 vtest nthreads=2: computed=2.92261298612503050975, error=0.21897966746476260624, time=0.00001062799856299534,  n=4
zeta2 vtest nthreads=2: computed=3.02729785665784278947, error=0.11429479693195032652, time=0.00000986899976851419,  n=8
zeta2 vtest nthreads=2: computed=3.08319302033945374930, error=0.05839963325033936670, time=0.00000978300158749335,  n=16
zeta2 vtest nthreads=2: computed=3.11207383861108688450, error=0.02951881497870623150, time=0.00000981599987426307,  n=32
zeta2 vtest nthreads=2: computed=3.12675278978900506033, error=0.01483986380078805567, time=0.00001028299993777182,  n=64
zeta2 vtest nthreads=2: computed=3.13415252177151826274, error=0.00744013181827485326, time=0.00001106700074160472,  n=128
zeta2 vtest nthreads=2: computed=3.13786752713559868866, error=0.00372512645419442734, time=0.00001275600152439438,  n=256
zeta2 vtest nthreads=2: computed=3.13972882391625951470, error=0.00186382967353360129, time=0.00001602200063643977,  n=512
zeta2 vtest nthreads=2: computed=3.14066042197831141181, error=0.00093223161148170419, time=0.00002265900002385024,  n=1024
zeta2 vtest nthreads=2: computed=3.14112645857002803496, error=0.00046619501976508104, time=0.00003594499867176637,  n=2048
zeta2 vtest nthreads=2: computed=3.14135953627386665943, error=0.00023311731592645657, time=0.00006286899952101521,  n=4096
zeta2 vtest nthreads=2: computed=3.14147608998000826830, error=0.00011656360978484770, time=0.00011555499986570794,  n=8192
zeta2 vtest nthreads=2: computed=3.14153437054690032326, error=0.00005828304289279274, time=0.00022168299983604811,  n=16384
zeta2 vtest nthreads=2: computed=3.14156351175884340776, error=0.00002914183094970824, time=0.00057752399879973382,  n=32768
zeta2 vtest nthreads=2: computed=3.14157808259693904773, error=0.00001457099285406827, time=0.00087039999925764278,  n=65536
zeta2 vtest nthreads=2: computed=3.14158536807404376034, error=0.00000728551574935565, time=0.00225162599963368848,  n=131072
zeta2 vtest nthreads=2: computed=3.14158901082709673958, error=0.00000364276269637642, time=0.00346935199922882020,  n=262144
zeta2 vtest nthreads=2: computed=3.14159083220724832941, error=0.00000182138254478659, time=0.01772394100044039078,  n=524288
zeta2 vtest nthreads=2: computed=3.14159174289823805992, error=0.00000091069155505608, time=0.01993149800000537653,  n=1048576
zeta2 vtest nthreads=2: computed=3.14159219824396318543, error=0.00000045534582993056, time=0.04373857500104350038,  n=2097152
zeta2 vtest nthreads=2: computed=3.14159242591687126733, error=0.00000022767292184867, time=0.08372506999876350164,  n=4194304
zeta2 vtest nthreads=2: computed=3.14159253975327779074, error=0.00000011383651532526, time=0.17153655700167291798,  n=8388608
zeta2 vtest nthreads=2: computed=3.14159259667101053992, error=0.00000005691878257608, time=0.18876753100084897596,  n=16777216
zeta2 vtest nthreads=4: computed=2.73861278752583059415, error=0.40297986606396252185, time=0.00013241900160210207,  n=2
zeta2 vtest nthreads=4: computed=2.92261298612503050975, error=0.21897966746476260624, time=0.00002216400025645271,  n=4
zeta2 vtest nthreads=4: computed=3.02729785665784278947, error=0.11429479693195032652, time=0.00002174099972762633,  n=8
zeta2 vtest nthreads=4: computed=3.08319302033945374930, error=0.05839963325033936670, time=0.00002148100065824110,  n=16
zeta2 vtest nthreads=4: computed=3.11207383861108688450, error=0.02951881497870623150, time=0.00002166499871236738,  n=32
zeta2 vtest nthreads=4: computed=3.12675278978900506033, error=0.01483986380078805567, time=0.00002200100061600097,  n=64
zeta2 vtest nthreads=4: computed=3.13415252177151870683, error=0.00744013181827440917, time=0.00002282899913552683,  n=128
zeta2 vtest nthreads=4: computed=3.13786752713559868866, error=0.00372512645419442734, time=0.00002452499938954134,  n=256
zeta2 vtest nthreads=4: computed=3.13972882391625907061, error=0.00186382967353404538, time=0.00003475399898889009,  n=512
zeta2 vtest nthreads=4: computed=3.14066042197831096772, error=0.00093223161148214828, time=0.00003963600101997145,  n=1024
zeta2 vtest nthreads=4: computed=3.14112645857002714678, error=0.00046619501976596922, time=0.00003725699934875593,  n=2048
zeta2 vtest nthreads=4: computed=3.14135953627386443898, error=0.00023311731592867702, time=0.00005571799920289777,  n=4096
zeta2 vtest nthreads=4: computed=3.14147608998000249514, error=0.00011656360979062086, time=0.00009562900049786549,  n=8192
zeta2 vtest nthreads=4: computed=3.14153437054690831687, error=0.00005828304288479913, time=0.00017493900122644845,  n=16384
zeta2 vtest nthreads=4: computed=3.14156351175884340776, error=0.00002914183094970824, time=0.00034601999868755229,  n=32768
zeta2 vtest nthreads=4: computed=3.14157808259694260045, error=0.00001457099285051555, time=0.00065970600007858593,  n=65536
zeta2 vtest nthreads=4: computed=3.14158536807402066771, error=0.00000728551577244829, time=0.00131440699988161214,  n=131072
zeta2 vtest nthreads=4: computed=3.14158901082709274277, error=0.00000364276270037323, time=0.00261656000111543108,  n=262144
zeta2 vtest nthreads=4: computed=3.14159083220724832941, error=0.00000182138254478659, time=0.01082182500067574438,  n=524288
zeta2 vtest nthreads=4: computed=3.14159174289823095449, error=0.00000091069156216150, time=0.02342614299959677737,  n=1048576
zeta2 vtest nthreads=4: computed=3.14159219824395608001, error=0.00000045534583703599, time=0.04120894900006533135,  n=2097152
zeta2 vtest nthreads=4: computed=3.14159242591687881685, error=0.00000022767291429915, time=0.08312007300082768779,  n=4194304
zeta2 vtest nthreads=4: computed=3.14159253975334307185, error=0.00000011383645004415, time=0.13482951200057868846,  n=8388608
zeta2 vtest nthreads=4: computed=3.14159259667151724571, error=0.00000005691827587029, time=0.16458782399968185928,  n=16777216
