hybridzeta1 vtest p=2 t=2: computed = 2.73861278752583059415, error=0.40297986606396252185, time=0.00221656400003666931, n=2
hybridzeta1 vtest p=2 t=2: computed = 2.92261298612503050975, error=0.21897966746476260624, time=0.00004371199997876829, n=4
hybridzeta1 vtest p=2 t=2: computed = 3.02729785665784278947, error=0.11429479693195032652, time=0.00003266900012022234, n=8
hybridzeta1 vtest p=2 t=2: computed = 3.08319302033945374930, error=0.05839963325033936670, time=0.00003165299995089299, n=16
hybridzeta1 vtest p=2 t=2: computed = 3.11207383861108688450, error=0.02951881497870623150, time=0.00003090299992436485, n=32
hybridzeta1 vtest p=2 t=2: computed = 3.12675278978900506033, error=0.01483986380078805567, time=0.00006009000003359688, n=64
hybridzeta1 vtest p=2 t=2: computed = 3.13415252177151826274, error=0.00744013181827485326, time=0.00003765199994631985, n=128
hybridzeta1 vtest p=2 t=2: computed = 3.13786752713559868866, error=0.00372512645419442734, time=0.00004151999996793165, n=256
hybridzeta1 vtest p=2 t=2: computed = 3.13972882391625951470, error=0.00186382967353360129, time=0.00005262499985292379, n=512
hybridzeta1 vtest p=2 t=2: computed = 3.14066042197831096772, error=0.00093223161148214828, time=0.00018086499994751648, n=1024
hybridzeta1 vtest p=2 t=2: computed = 3.14112645857002803496, error=0.00046619501976508104, time=0.00872508600014043623, n=2048
hybridzeta1 vtest p=2 t=2: computed = 3.14135953627386665943, error=0.00023311731592645657, time=0.00019191199999113451, n=4096
hybridzeta1 vtest p=2 t=2: computed = 3.14147608998000826830, error=0.00011656360978484770, time=0.00035178100006305613, n=8192
hybridzeta1 vtest p=2 t=2: computed = 3.14153437054690032326, error=0.00005828304289279274, time=0.00058799299995371257, n=16384
hybridzeta1 vtest p=2 t=2: computed = 3.14156351175884340776, error=0.00002914183094970824, time=0.00082798799985539517, n=32768
hybridzeta1 vtest p=2 t=2: computed = 3.14157808259693904773, error=0.00001457099285406827, time=0.00163838000003124762, n=65536
hybridzeta1 vtest p=2 t=2: computed = 3.14158536807404376034, error=0.00000728551574935565, time=0.00758070799997767608, n=131072
hybridzeta1 vtest p=2 t=2: computed = 3.14158901082709673958, error=0.00000364276269637642, time=0.00945464300002640812, n=262144
hybridzeta1 vtest p=2 t=2: computed = 3.14159083220724877350, error=0.00000182138254434250, time=0.02217986200002997066, n=524288
hybridzeta1 vtest p=2 t=2: computed = 3.14159174289823805992, error=0.00000091069155505608, time=0.04913687699990987312, n=1048576
hybridzeta1 vtest p=2 t=2: computed = 3.14159219824396318543, error=0.00000045534582993056, time=0.13828306300001713680, n=2097152
hybridzeta1 vtest p=2 t=2: computed = 3.14159242591687126733, error=0.00000022767292184867, time=0.24941674299998339848, n=4194304
hybridzeta1 vtest p=2 t=2: computed = 3.14159253975327779074, error=0.00000011383651532526, time=0.57378124199999547272, n=8388608
hybridzeta1 vtest p=2 t=2: computed = 3.14159259667101053992, error=0.00000005691878257608, time=0.96395154200013166701, n=16777216
hybridzeta1 vtest p=2 t=2: computed = 2.73861278752583059415, error=0.40297986606396252185, time=0.00018933500018647464, n=2
hybridzeta1 vtest p=2 t=2: computed = 2.92261298612503050975, error=0.21897966746476260624, time=0.00003105899986621807, n=4
hybridzeta1 vtest p=2 t=2: computed = 3.02729785665784278947, error=0.11429479693195032652, time=0.00002427599997645302, n=8
hybridzeta1 vtest p=2 t=2: computed = 3.08319302033945374930, error=0.05839963325033936670, time=0.00002236899990748498, n=16
hybridzeta1 vtest p=2 t=2: computed = 3.11207383861108688450, error=0.02951881497870623150, time=0.00002116099994964316, n=32
hybridzeta1 vtest p=2 t=2: computed = 3.12675278978900506033, error=0.01483986380078805567, time=0.00003036599991901312, n=64
hybridzeta1 vtest p=2 t=2: computed = 3.13415252177151826274, error=0.00744013181827485326, time=0.00004119699997318094, n=128
hybridzeta1 vtest p=2 t=2: computed = 3.13786752713559868866, error=0.00372512645419442734, time=0.00002898499997172621, n=256
hybridzeta1 vtest p=2 t=2: computed = 3.13972882391625951470, error=0.00186382967353360129, time=0.00003401899994059931, n=512
hybridzeta1 vtest p=2 t=2: computed = 3.14066042197831096772, error=0.00093223161148214828, time=0.00007013699996605283, n=1024
hybridzeta1 vtest p=2 t=2: computed = 3.14112645857002803496, error=0.00046619501976508104, time=0.00006710399998155481, n=2048
hybridzeta1 vtest p=2 t=2: computed = 3.14135953627386665943, error=0.00023311731592645657, time=0.00010355499989600503, n=4096
hybridzeta1 vtest p=2 t=2: computed = 3.14147608998000826830, error=0.00011656360978484770, time=0.00022434299989981810, n=8192
hybridzeta1 vtest p=2 t=2: computed = 3.14153437054690032326, error=0.00005828304289279274, time=0.00030959700006860658, n=16384
hybridzeta1 vtest p=2 t=2: computed = 3.14156351175884340776, error=0.00002914183094970824, time=0.00056410599995615485, n=32768
hybridzeta1 vtest p=2 t=2: computed = 3.14157808259693904773, error=0.00001457099285406827, time=0.00641791099997135461, n=65536
hybridzeta1 vtest p=2 t=2: computed = 3.14158536807404376034, error=0.00000728551574935565, time=0.00294280900016019586, n=131072
hybridzeta1 vtest p=2 t=2: computed = 3.14158901082709673958, error=0.00000364276269637642, time=0.01401987999997800216, n=262144
hybridzeta1 vtest p=2 t=2: computed = 3.14159083220724877350, error=0.00000182138254434250, time=0.02525511499993626785, n=524288
hybridzeta1 vtest p=2 t=2: computed = 3.14159174289823805992, error=0.00000091069155505608, time=0.05864053000004787464, n=1048576
hybridzeta1 vtest p=2 t=2: computed = 3.14159219824396318543, error=0.00000045534582993056, time=0.10286397999993823760, n=2097152
