mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00019040300139749888,  n=512
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00020935000065946952,  n=1024
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00037798800076416228,  n=2048
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00067086300077789929,  n=4096
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00127528300072299317,  n=8192
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.00248090099921682850,  n=16384
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.01242825199915387202,  n=32768
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.02069242999823472928,  n=65536
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.03968777399859391153,  n=131072
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.04984317299931717571,  n=262144
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.07759411500046553556,  n=524288
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.18030118400020000990,  n=1048576
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.30411572199955116957,  n=2097152
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=0.60157752099985373206,  n=4194304
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=1.19974494400048570242,  n=8388608
mach2 vtest nthreads=8: computed=3.14159265358979400418, error=0.00000000000000088818, time=2.38866564800082414877,  n=16777216
